lambda_etf,lambda_fut,alpha,sharpe_annualized,turnover_notional_per_capital,total_pnl_net,total_costs,frac_etf_only,frac_fut_only,frac_both,frac_none
0.01,0.02,0.005,1.8244171872418267,1.4453617389363431,77.57474488567864,107.34285505553255,0.48125937031484256,0.4572713643178411,0.0,0.06146926536731634
0.01,0.02,0.01,2.0028861101855284,1.4515405798156484,85.00367733303024,106.37017225497682,0.452023988005997,0.48650674662668664,0.0,0.06146926536731634
0.01,0.02,0.02,2.0619360291287405,1.4418291134407395,87.48931283785384,104.88927435699769,0.4325337331334333,0.5059970014992504,0.0,0.06146926536731634
0.01,0.02,0.05,2.008879829830347,1.4379055169039967,85.16107164387499,104.07309552491043,0.42278860569715143,0.5157421289355323,0.0,0.06146926536731634
0.01,0.05,0.005,1.7825180601278217,1.4655110075920017,75.928551400591,112.04503411808889,0.5847076461769115,0.3538230884557721,0.0,0.06146926536731634
0.01,0.05,0.01,1.7767865475809033,1.4466920848671057,75.58929870556307,109.44540397042744,0.525487256371814,0.41304347826086957,0.0,0.06146926536731634
0.01,0.05,0.02,1.8244171872418267,1.4453617389363431,77.57474488567864,107.34285505553255,0.48125937031484256,0.4572713643178411,0.0,0.06146926536731634
0.01,0.05,0.05,2.032429268257015,1.4479438928023463,86.2556772290241,106.00060712184407,0.4460269865067466,0.49250374812593706,0.0,0.06146926536731634
0.01,0.08,0.005,1.6636260740012587,1.4869864737942464,70.92036113767993,116.33285225992904,0.664167916041979,0.27436281859070466,0.0,0.06146926536731634
0.01,0.08,0.01,1.8088271955067678,1.466023003487381,77.02668066058607,111.71896120715128,0.5712143928035982,0.36731634182908546,0.0,0.06146926536731634
0.01,0.08,0.02,1.823443557708122,1.4436685434747143,77.55848853012854,108.83597716528284,0.5149925037481259,0.4235382308845577,0.0,0.06146926536731634
0.01,0.08,0.05,1.9664574426786714,1.448806505485007,83.47168938095612,106.82590040182231,0.46326836581709147,0.4752623688155922,0.0,0.06146926536731634
0.02,0.02,0.005,2.0114765002033246,1.437433393624046,85.25951151467189,103.81371081949773,0.4070464767616192,0.5314842578710645,0.0,0.06146926536731634
0.02,0.02,0.01,2.0114765002033246,1.437433393624046,85.25951151467189,103.81371081949773,0.4070464767616192,0.5314842578710645,0.0,0.06146926536731634
0.02,0.02,0.02,2.0114765002033246,1.437433393624046,85.25951151467189,103.81371081949773,0.4070464767616192,0.5314842578710645,0.0,0.06146926536731634
0.02,0.02,0.05,2.0114765002033246,1.437433393624046,85.25951151467189,103.81371081949773,0.4070464767616192,0.5314842578710645,0.0,0.06146926536731634
0.02,0.05,0.005,1.7929530448423308,1.4603394805405001,76.29158212088979,110.97002553241677,0.5584707646176912,0.3800599700149925,0.0,0.06146926536731634
0.02,0.05,0.01,1.8590741510696802,1.4431952415952156,79.06935095684014,108.37097736730962,0.5022488755622189,0.4362818590704648,0.0,0.06146926536731634
0.02,0.05,0.02,1.9331608597381524,1.4472145093256938,82.1038171736437,106.99134391428385,0.46851574212893554,0.4700149925037481,0.0,0.06146926536731634
0.02,0.05,0.05,2.0583366162720442,1.4446114943933588,87.33966010973138,105.2799696869937,0.43778110944527737,0.5007496251874063,0.0,0.06146926536731634
0.02,0.08,0.005,1.7327756454653653,1.4807672641445393,73.85627765816784,115.00053724629845,0.6424287856071964,0.29610194902548725,0.0,0.06146926536731634
0.02,0.08,0.01,1.7929530448423308,1.4603394805405001,76.29158212088979,110.97002553241677,0.5584707646176912,0.3800599700149925,0.0,0.06146926536731634
0.02,0.08,0.02,1.8590741510696802,1.4431952415952156,79.06935095684014,108.37097736730962,0.5022488755622189,0.4362818590704648,0.0,0.06146926536731634
0.02,0.08,0.05,1.9878778713341665,1.4521056157867605,84.36995147681164,106.52095260094488,0.4550224887556222,0.4835082458770615,0.0,0.06146926536731634
0.05,0.02,0.005,2.0901642251794046,1.4509365447370988,88.27184033918182,103.40431596870562,0.3320839580209895,0.6064467766116941,0.0,0.06146926536731634
0.05,0.02,0.01,2.1603934261410176,1.4368361136075274,91.25521386503587,103.0779582817958,0.36431784107946025,0.5742128935532234,0.0,0.06146926536731634
0.05,0.02,0.02,2.0080091588532807,1.4384831683590886,85.107836506609,103.72016561453438,0.38905547226386805,0.5494752623688156,0.0,0.06146926536731634
0.05,0.02,0.05,2.025233672771986,1.4367385350885153,85.84254945854389,103.68850159107149,0.4017991004497751,0.5367316341829086,0.0,0.06146926536731634
0.05,0.05,0.005,2.0114765002033246,1.437433393624046,85.25951151467189,103.81371081949773,0.4070464767616192,0.5314842578710645,0.0,0.06146926536731634
0.05,0.05,0.01,2.0114765002033246,1.437433393624046,85.25951151467189,103.81371081949773,0.4070464767616192,0.5314842578710645,0.0,0.06146926536731634
0.05,0.05,0.02,2.0114765002033246,1.437433393624046,85.25951151467189,103.81371081949773,0.4070464767616192,0.5314842578710645,0.0,0.06146926536731634
0.05,0.05,0.05,2.0114765002033246,1.437433393624046,85.25951151467189,103.81371081949773,0.4070464767616192,0.5314842578710645,0.0,0.06146926536731634
0.05,0.08,0.005,1.7929530448423308,1.4603394805405001,76.29158212088979,110.97002553241677,0.5584707646176912,0.3800599700149925,0.0,0.06146926536731634
0.05,0.08,0.01,1.8590741510696802,1.4431952415952156,79.06935095684014,108.37097736730962,0.5022488755622189,0.4362818590704648,0.0,0.06146926536731634
0.05,0.08,0.02,1.9331608597381524,1.4472145093256938,82.1038171736437,106.99134391428385,0.46851574212893554,0.4700149925037481,0.0,0.06146926536731634
